timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666219438723,89,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,4,14,http://localhost:3000/parents,86,0,12
1666219438717,141,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-3,text,true,,243,198,5,17,http://localhost:3000/children,141,0,20
1666219438703,191,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,17,http://localhost:3000/folder,191,0,36
1666219438702,227,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,6,20,http://localhost:3000/parents,227,0,36
1666219438702,267,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,6,20,http://localhost:3000/parents,267,0,38
1666219438702,316,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,7,23,http://localhost:3000/children,316,0,38
1666219438703,345,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,23,http://localhost:3000/addFolder,345,0,34
1666219438702,356,GET /folders,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,8,25,http://localhost:3000/folder,356,0,41
1666219438703,367,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-1,text,true,,243,198,8,26,http://localhost:3000/children,367,0,34
1666219438781,318,GET /folders,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,8,28,http://localhost:3000/folder,318,0,1
1666219438784,318,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-4,text,true,,243,198,8,28,http://localhost:3000/children,318,0,1
1666219438794,312,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-4,text,true,,243,209,8,28,http://localhost:3000/parents,312,0,1
1666219438847,291,GET /folders,200,OK,GET_FOLDER_BY_ID 1-5,text,true,,305,198,9,31,http://localhost:3000/folder,291,0,1
1666219438814,330,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,9,31,http://localhost:3000/parents,330,0,0
1666219438852,301,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-5,text,true,,243,198,9,31,http://localhost:3000/children,301,0,2
1666219438858,335,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-3,text,true,,243,198,10,33,http://localhost:3000/children,335,0,0
1666219438857,337,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-5,text,true,,243,209,9,33,http://localhost:3000/parents,337,0,1
1666219438894,302,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,2,34,http://localhost:3000/folder,302,0,0
1666219438911,327,GET /folders,200,OK,GET_FOLDER_BY_ID 1-6,text,true,,305,198,10,34,http://localhost:3000/folder,327,0,2
1666219438930,309,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,10,34,http://localhost:3000/parents,309,0,0
1666219438715,525,GET /folders,200,OK,GET_FOLDER_BY_ID 1-3,text,true,,305,198,10,34,http://localhost:3000/folder,525,0,25
1666219438919,326,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-6,text,true,,243,198,10,34,http://localhost:3000/children,326,0,1
1666219438982,292,GET /folders,200,OK,GET_FOLDER_BY_ID 1-7,text,true,,305,198,11,37,http://localhost:3000/folder,292,0,1
1666219438703,575,GET /folders,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,11,37,http://localhost:3000/folder,575,0,39
1666219438994,288,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-7,text,true,,243,209,11,37,http://localhost:3000/parents,288,0,1
1666219438985,310,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-7,text,true,,243,198,11,37,http://localhost:3000/children,310,0,1
1666219439019,289,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,11,37,http://localhost:3000/children,289,0,0
1666219439047,268,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,2,38,http://localhost:3000/addFolder,268,0,0
1666219439048,272,GET /folders,200,OK,GET_FOLDER_BY_ID 1-8,text,true,,305,198,12,38,http://localhost:3000/folder,272,0,2
1666219439058,264,GET /folders,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,12,38,http://localhost:3000/folder,264,0,0
1666219439056,284,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-8,text,true,,243,198,12,40,http://localhost:3000/children,284,0,1
1666219439061,289,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-8,text,true,,243,209,12,40,http://localhost:3000/parents,289,0,1
1666219439069,299,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-1,text,true,,243,198,12,40,http://localhost:3000/children,299,0,0
1666219439100,269,GET /folders,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,12,40,http://localhost:3000/folder,269,0,0
1666219439102,270,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-4,text,true,,243,198,12,40,http://localhost:3000/children,270,0,0
