timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666221262461,90,GET /folder,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,3,11,http://localhost:3000/folder,88,0,24
1666221262461,119,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,13,http://localhost:3000/folder,119,0,25
1666221262461,155,GET /folder,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,4,14,http://localhost:3000/folder,155,0,26
1666221262461,191,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,5,17,http://localhost:3000/parents,191,0,23
1666221262461,231,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,17,http://localhost:3000/addFolder,231,0,24
1666221262461,294,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-1,text,true,,243,198,6,20,http://localhost:3000/children,294,0,27
1666221262461,295,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,6,20,http://localhost:3000/parents,295,0,23
1666221262517,277,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,7,23,http://localhost:3000/parents,277,0,1
1666221262553,242,GET /folder,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,7,23,http://localhost:3000/folder,242,0,0
1666221262461,343,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,7,23,http://localhost:3000/children,343,0,26
1666221262567,261,GET /folder,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,7,23,http://localhost:3000/folder,261,0,1
1666221262580,260,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,24,http://localhost:3000/folder,260,0,0
1666221262577,279,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-4,text,true,,243,198,8,26,http://localhost:3000/children,279,0,1
1666221262581,284,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-4,text,true,,243,209,8,26,http://localhost:3000/parents,284,0,1
1666221262616,257,GET /folder,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,8,26,http://localhost:3000/folder,257,0,0
1666221262634,257,GET /folder,200,OK,GET_FOLDER_BY_ID 1-5,text,true,,305,198,8,28,http://localhost:3000/folder,257,0,1
1666221262650,263,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-5,text,true,,243,209,8,30,http://localhost:3000/parents,263,0,2
1666221262645,284,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-5,text,true,,243,198,9,31,http://localhost:3000/children,284,0,1
1666221262652,278,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,9,31,http://localhost:3000/parents,278,0,0
1666221262504,429,GET /folder,200,OK,GET_FOLDER_BY_ID 1-3,text,true,,305,198,9,31,http://localhost:3000/folder,429,0,1
1666221262704,243,GET /folder,200,OK,GET_FOLDER_BY_ID 1-6,text,true,,305,198,9,31,http://localhost:3000/folder,243,0,1
1666221262755,269,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-1,text,true,,243,198,10,34,http://localhost:3000/children,269,0,0
1666221262717,312,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-6,text,true,,243,209,10,34,http://localhost:3000/parents,312,0,1
1666221262772,258,GET /folder,200,OK,GET_FOLDER_BY_ID 1-7,text,true,,305,198,10,34,http://localhost:3000/folder,258,0,2
1666221262756,275,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,10,34,http://localhost:3000/parents,275,0,0
1666221262510,556,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-3,text,true,,243,198,11,37,http://localhost:3000/children,556,0,1
1666221262786,282,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-7,text,true,,243,209,11,37,http://localhost:3000/parents,282,0,1
1666221262794,278,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,11,37,http://localhost:3000/parents,278,0,0
1666221262795,279,GET /folder,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,11,37,http://localhost:3000/folder,279,0,0
1666221262779,312,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-7,text,true,,243,198,11,37,http://localhost:3000/children,312,0,1
1666221262804,331,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,12,40,http://localhost:3000/children,331,0,0
1666221262840,296,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,2,40,http://localhost:3000/folder,296,0,0
1666221262828,309,GET /folder,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,12,40,http://localhost:3000/folder,309,0,0
1666221262837,301,GET /folder,200,OK,GET_FOLDER_BY_ID 1-8,text,true,,305,198,12,40,http://localhost:3000/folder,301,0,1
1666221262844,320,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-8,text,true,,243,198,12,40,http://localhost:3000/children,320,0,1
1666221262693,473,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,2,40,http://localhost:3000/addFolder,473,0,0
1666221262849,325,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-8,text,true,,243,209,12,41,http://localhost:3000/parents,325,0,1
1666221262874,301,GET /folder,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,13,41,http://localhost:3000/folder,301,0,0
1666221262865,311,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-4,text,true,,243,209,12,41,http://localhost:3000/parents,311,0,0
1666221262887,290,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-2,text,true,,304,231,2,41,http://localhost:3000/folder,290,0,2
1666221262901,302,GET /folder,200,OK,GET_FOLDER_BY_ID 1-9,text,true,,305,198,13,43,http://localhost:3000/folder,302,0,1
1666221262887,317,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-2,text,true,,273,212,2,43,http://localhost:3000/addFolder,317,0,2
1666221262913,296,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-5,text,true,,243,209,13,43,http://localhost:3000/parents,296,0,0
1666221262921,299,GET /parents,200,OK,GET_PARENT_BY_CHILD_ID 3-9,text,true,,243,209,13,43,http://localhost:3000/parents,299,0,2
1666221262930,328,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-5,text,true,,243,198,14,46,http://localhost:3000/children,328,0,0
1666221262947,312,GET /folder,200,OK,GET_FOLDER_BY_ID 1-6,text,true,,305,198,14,46,http://localhost:3000/folder,312,0,0
1666221262912,349,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-9,text,true,,243,198,14,46,http://localhost:3000/children,349,0,2
