timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666213968271,217,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,29,http://localhost:3000/addFolder,217,0,0
1666213968309,184,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,9,29,http://localhost:3000/children,184,0,0
1666213968327,168,GET /folders,200,OK,GET_FOLDER_BY_ID 1-6,text,true,,305,198,9,29,http://localhost:3000/folder,168,0,0
1666213968103,393,GET /folders,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,9,29,http://localhost:3000/folder,393,0,0
1666213968320,177,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-3,text,true,,243,198,9,29,http://localhost:3000/children,177,0,0
1666213968340,172,GET /folders,200,OK,GET_FOLDER_BY_ID 1-8,text,true,,305,198,9,29,http://localhost:3000/folder,172,0,1
1666213968062,471,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-1,text,true,,243,198,9,29,http://localhost:3000/children,471,0,0
1666213968359,178,GET /folders,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,9,29,http://localhost:3000/folder,178,0,0
1666213968342,196,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-6,text,true,,243,209,9,29,http://localhost:3000/parents,196,0,0
1666213968350,189,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-8,text,true,,243,209,9,29,http://localhost:3000/parents,189,0,1
1666213968354,195,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-6,text,true,,243,198,10,31,http://localhost:3000/children,195,0,0
1666213968375,174,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-4,text,true,,243,209,9,31,http://localhost:3000/parents,174,0,0
1666213968349,214,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-8,text,true,,243,198,10,32,http://localhost:3000/children,214,0,1
1666213968390,183,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,10,32,http://localhost:3000/parents,183,0,0
1666213968391,183,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,10,32,http://localhost:3000/parents,183,0,0
1666213968395,183,GET /folders,200,OK,GET_FOLDER_BY_ID 1-5,text,true,,305,198,10,32,http://localhost:3000/folder,183,0,0
1666213968389,191,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-4,text,true,,243,198,10,32,http://localhost:3000/children,191,0,0
1666213968412,172,GET /folders,200,OK,GET_FOLDER_BY_ID 1-7,text,true,,305,198,10,32,http://localhost:3000/folder,172,0,0
1666213968439,153,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-7,text,true,,243,198,10,32,http://localhost:3000/children,153,0,0
1666213968442,164,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-5,text,true,,243,198,10,32,http://localhost:3000/children,164,0,0
1666213968442,166,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-7,text,true,,243,209,10,32,http://localhost:3000/parents,166,0,0
1666213968443,168,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-5,text,true,,243,209,10,32,http://localhost:3000/parents,168,0,0
1666213968448,167,GET /folders,200,OK,GET_FOLDER_BY_ID 1-3,text,true,,305,198,10,32,http://localhost:3000/folder,167,0,0
1666213968442,173,GET /folders,200,OK,GET_FOLDER_BY_ID 1-9,text,true,,305,198,10,32,http://localhost:3000/folder,173,0,1
1666213968449,170,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-9,text,true,,243,209,10,32,http://localhost:3000/parents,170,0,1
1666213968449,189,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-9,text,true,,243,198,10,32,http://localhost:3000/children,189,0,1
1666213968478,162,GET /folders,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,10,32,http://localhost:3000/folder,162,0,0
1666213968495,154,GET /folders,200,OK,GET_FOLDER_BY_ID 1-6,text,true,,305,198,10,32,http://localhost:3000/folder,154,0,0
1666213968488,163,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,32,http://localhost:3000/addFolder,163,0,0
1666213968494,162,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,10,32,http://localhost:3000/children,162,0,0
1666213968496,161,GET /folders,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,10,32,http://localhost:3000/folder,161,0,0
1666213968497,166,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-3,text,true,,243,198,10,32,http://localhost:3000/children,166,0,0
1666213968512,160,GET /folders,200,OK,GET_FOLDER_BY_ID 1-8,text,true,,305,198,10,32,http://localhost:3000/folder,160,0,0
1666213968287,574,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,10,32,http://localhost:3000/parents,574,0,0
1666213968323,548,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,32,http://localhost:3000/folder,548,0,0
1666213968549,323,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-4,text,true,,243,209,10,32,http://localhost:3000/parents,323,0,0
1666213968549,326,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-6,text,true,,243,198,10,32,http://localhost:3000/children,326,0,0
1666213968539,359,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-8,text,true,,243,209,10,32,http://localhost:3000/parents,359,0,0
1666213968563,348,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-8,text,true,,243,198,10,32,http://localhost:3000/children,348,0,0
