timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666213545117,102,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,8,http://localhost:3000/addFolder,101,0,21
1666213545117,146,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,11,http://localhost:3000/folder,146,0,20
1666213545117,188,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,3,11,http://localhost:3000/parents,188,0,19
1666213545142,201,GET /folders,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,4,12,http://localhost:3000/folder,201,0,1
1666213545149,241,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,4,14,http://localhost:3000/children,241,0,1
1666213545117,301,GET /folders,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,4,14,http://localhost:3000/folder,301,0,21
1666213545220,222,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,15,http://localhost:3000/addFolder,222,0,0
1666213545249,207,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,5,17,http://localhost:3000/parents,206,0,1
1666213545117,362,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-1,text,true,,243,198,5,17,http://localhost:3000/children,362,0,20
1666213545249,245,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-3,text,true,,243,198,5,17,http://localhost:3000/children,245,0,2
1666213545263,232,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,17,http://localhost:3000/folder,232,0,0
1666213545305,212,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,5,17,http://localhost:3000/parents,211,0,0
1666213545341,192,GET /folders,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,5,17,http://localhost:3000/folder,192,0,2
1666213545343,192,GET /folders,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,5,17,http://localhost:3000/folder,192,0,0
1666213545347,218,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-4,text,true,,243,198,6,20,http://localhost:3000/children,218,0,2
1666213545349,225,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-4,text,true,,243,209,6,20,http://localhost:3000/parents,224,0,1
1666213545391,191,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-2,text,true,,243,198,6,20,http://localhost:3000/children,190,0,0
1666213545418,188,GET /folders,200,OK,GET_FOLDER_BY_ID 1-1,text,true,,305,198,6,20,http://localhost:3000/folder,188,0,0
1666213545443,176,POST /addFolder,200,OK,ADD_CHILD_IN_ROOT_BY_ID 4-1,text,true,,273,212,1,20,http://localhost:3000/addFolder,176,0,0
1666213545244,377,GET /folders,200,OK,GET_FOLDER_BY_ID 1-3,text,true,,305,198,6,20,http://localhost:3000/folder,376,0,2
1666213545442,180,GET /folders,200,OK,GET_FOLDER_BY_ID 1-5,text,true,,305,198,6,20,http://localhost:3000/folder,180,0,2
1666213545150,493,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-2,text,true,,243,209,6,21,http://localhost:3000/parents,493,0,2
1666213545456,190,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-3,text,true,,243,209,6,21,http://localhost:3000/parents,190,0,0
1666213545494,177,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-3,text,true,,243,198,7,23,http://localhost:3000/children,177,0,0
1666213545478,196,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-1,text,true,,243,198,7,23,http://localhost:3000/children,196,0,0
1666213545495,180,PUT /folder,200,OK,UPDATE_FOLDER_BY_ID 5-1,text,true,,304,231,1,23,http://localhost:3000/folder,180,0,0
1666213545517,165,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-1,text,true,,243,209,7,23,http://localhost:3000/parents,165,0,0
1666213545534,151,GET /folders,200,OK,GET_FOLDER_BY_ID 1-4,text,true,,305,198,7,23,http://localhost:3000/folder,151,0,0
1666213545535,173,GET /folders,200,OK,GET_FOLDER_BY_ID 1-2,text,true,,305,198,7,23,http://localhost:3000/folder,172,0,0
1666213545540,172,GET /folders,200,OK,GET_FOLDER_BY_ID 1-6,text,true,,305,198,7,23,http://localhost:3000/folder,172,0,1
1666213545550,177,GET /children,200,OK,GET_CHILDREN_BY_ROOT_ID 2-6,text,true,,243,198,7,23,http://localhost:3000/children,177,0,2
1666213545551,177,GET /folders,200,OK,GET_PARENT_BY_CHILD_ID 3-6,text,true,,243,209,7,23,http://localhost:3000/parents,177,0,1
